#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.200481    0.200481           0
           2    0.192257    0.196369  0.00290762
           3    0.194938    0.195892  0.00197715
           4    0.216377    0.201013  0.00467646
           5    0.205896     0.20199  0.00384178
           6    0.208661    0.203102  0.00335853
           7    0.217124    0.205105  0.00342442
           8    0.222112    0.207231  0.00359621
           9    0.197299    0.206127  0.00336168
          10    0.209034    0.206418  0.00303805
          11    0.195792    0.205452  0.00291139
          12    0.204667    0.205387  0.00266951
          13    0.208888    0.205656  0.00247772
          14    0.209752    0.205948  0.00231795
          15    0.193411    0.205113   0.0023092
          16    0.208033    0.205295  0.00217208
          17    0.200662    0.205023  0.00206134
          18    0.180803    0.203677   0.0023452
          19    0.188694    0.202888  0.00235062
          20    0.200582    0.202773  0.00223591
