#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.030954    0.030954           0
           2    0.033116    0.032035 0.000764382
           3    0.031352   0.0318073 0.000542434
           4    0.026142    0.030391  0.00129229
           5    0.029164   0.0301456  0.00105687
           6    0.031774    0.030417 0.000914912
           7     0.02631   0.0298303 0.000953962
           8    0.029664   0.0298095 0.000834943
           9      0.0294    0.029764  0.00074341
          10    0.021796   0.0289672  0.00100948
          11     0.02346   0.0284665  0.00103444
          12    0.026388   0.0282933 0.000962627
          13    0.025594   0.0280857 0.000910698
          14    0.021878   0.0276423 0.000947463
          15     0.02672   0.0275808 0.000886292
          16     0.02635   0.0275039  0.00083423
          17    0.024452   0.0273244 0.000804242
          18    0.030352   0.0274926 0.000776952
          19    0.033818   0.0278255  0.00080423
          20    0.030576    0.027963 0.000775688
