#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.148167    0.148167           0
           2    0.139939    0.144053  0.00290904
           3    0.144476    0.144194  0.00194277
           4    0.156918    0.147375  0.00311643
           5    0.148345    0.147569  0.00249918
           6    0.148219    0.147677  0.00208499
           7    0.157821    0.149126  0.00223467
           8    0.172915      0.1521  0.00340003
           9    0.135249    0.150228  0.00350002
          10    0.150247     0.15023  0.00315001
          11    0.139043    0.149213  0.00302336
          12    0.157365    0.149892  0.00284672
          13    0.137535    0.148941  0.00278191
          14    0.145539    0.148698   0.0025938
          15    0.153084    0.148991   0.0024373
          16    0.147891    0.148922  0.00228594
          17     0.16783    0.150034  0.00240689
          18    0.142995    0.149643  0.00230472
          19     0.14953    0.149637  0.00218343
          20    0.142228    0.149267  0.00210545
