#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.448951    0.448951           0
           2    0.436298    0.442624  0.00447351
           3    0.362053    0.415767   0.0221307
           4    0.429912    0.419303   0.0168781
           5    0.457248    0.426892   0.0151126
           6    0.455573    0.431672   0.0133284
           7    0.465334    0.436481   0.0122612
           8    0.442084    0.437182   0.0107485
           9    0.492323    0.443308   0.0111647
          10    0.432278    0.442205   0.0101026
          11    0.487799     0.44635  0.00999834
          12    0.478166    0.449002  0.00951018
          13    0.461063    0.449929  0.00882377
          14    0.456536    0.450401  0.00820611
          15    0.435197    0.449388  0.00772138
          16     0.50999    0.453175  0.00811479
          17    0.405809    0.450389  0.00810168
          18    0.359222    0.445324  0.00909803
          19    0.499923    0.448198  0.00906165
          20    0.386172    0.445097  0.00912384
