#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.278708    0.278708           0
           2    0.302819    0.290764  0.00852453
           3    0.304693    0.295407   0.0068315
           4    0.272714    0.289733   0.0070986
           5    0.312938    0.294374  0.00703421
           6    0.301017    0.295481  0.00594832
           7    0.301866    0.296394  0.00516801
           8      0.3028    0.297194  0.00458364
           9    0.264101    0.293517  0.00534964
          10    0.277149     0.29188  0.00505889
          11    0.274553    0.290305  0.00483803
          12    0.303619    0.291415   0.0045603
          13    0.293173     0.29155  0.00421151
          14    0.317084    0.293374  0.00428746
          15     0.32618    0.295561   0.0045252
          16    0.274112     0.29422   0.0044365
          17    0.250072    0.291623  0.00487674
          18    0.260605      0.2899  0.00490082
          19    0.313224    0.291128  0.00479416
          20    0.283122    0.290727  0.00457113
