#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.091162    0.091162           0
           2    0.079554    0.085358  0.00410405
           3     0.07218   0.0809653  0.00451105
           4     0.07123   0.0785315  0.00398614
           5     0.08994   0.0808132  0.00378604
           6     0.09203   0.0826827  0.00358701
           7    0.108542   0.0863769  0.00459897
           8     0.09385    0.087311  0.00411788
           9    0.102742   0.0890256  0.00400139
          10    0.094794   0.0896024  0.00364259
          11    0.086186   0.0892918  0.00332466
          12    0.090106   0.0893597   0.0030483
          13    0.082006    0.088794  0.00286582
          14    0.083516    0.088417   0.0026858
          15    0.112068   0.0899937  0.00293328
          16    0.076168   0.0891296  0.00287441
          17    0.090838   0.0892301  0.00270708
          18    0.086794   0.0890948  0.00256007
          19    0.081572   0.0886988  0.00245576
          20    0.088354   0.0886816  0.00233303
