#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.048928    0.048928           0
           2    0.049906    0.049417 0.000345775
           3     0.05418   0.0510047  0.00131666
           4    0.048874    0.050472  0.00108993
           5    0.040448   0.0484672  0.00199391
           6     0.04115   0.0472477  0.00200007
           7    0.045128   0.0469449  0.00173711
           8    0.054092   0.0478383  0.00173456
           9    0.047178   0.0477649  0.00154338
          10    0.045514   0.0475398  0.00140536
          11     0.04964   0.0477307  0.00129051
          12    0.051878   0.0480763  0.00122837
          13    0.043754   0.0477438  0.00117802
          14    0.047112   0.0476987  0.00109474
          15    0.048684   0.0477644  0.00102373
          16    0.056948   0.0483384  0.00110904
          17    0.052858   0.0486042  0.00107519
          18    0.043444   0.0483176  0.00105299
          19     0.04983   0.0483972  0.00100057
          20    0.050344   0.0484945 0.000955265
