#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.933991    0.933991           0
           2    0.913571    0.923781  0.00721956
           3    0.895566    0.914376  0.00906282
           4     0.90334    0.911617  0.00720485
           5    0.846883     0.89867   0.0129351
           6    0.945112     0.90641   0.0128888
           7    0.932864     0.91019   0.0115883
           8    0.886838    0.907271   0.0105009
           9    0.895361    0.905947  0.00941718
          10    0.848014    0.900154   0.0101015
          11    0.885644    0.898835  0.00926889
          12    0.833337    0.893377  0.00997492
          13    0.923394    0.895686   0.0094711
          14    0.938631    0.898753  0.00927806
          15    0.904642    0.899146  0.00866783
          16    0.934828    0.901376  0.00840809
          17    0.883237    0.900309  0.00798091
          18    0.883007    0.899348  0.00759519
          19    0.898673    0.899312  0.00719553
          20    0.915431    0.900118  0.00688074
