#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.047328    0.047328           0
           2    0.045906    0.046617 0.000502753
           3    0.057438    0.050224  0.00296411
           4    0.043166   0.0484595  0.00269763
           5    0.041648   0.0470972  0.00247833
           6    0.037016    0.045417  0.00257253
           7    0.043062   0.0450806  0.00222692
           8    0.040592   0.0445195  0.00201799
           9     0.05167    0.045314  0.00194389
          10    0.032836   0.0440662  0.00211236
          11    0.049768   0.0445845   0.0019829
          12    0.043674   0.0445087  0.00181911
          13    0.041352   0.0442658  0.00169531
          14    0.050764     0.04473  0.00163652
          15    0.035956   0.0441451  0.00162861
          16     0.04578   0.0442473  0.00153002
          17    0.046616   0.0443866  0.00144635
          18    0.038472    0.044058  0.00140283
          19    0.038936   0.0437884  0.00135465
          20    0.043606   0.0437793  0.00128695
