#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.058454    0.058454           0
           2    0.052364    0.055409  0.00215314
           3    0.053562   0.0547933   0.0015209
           4    0.057898   0.0555695    0.001324
           5    0.067816   0.0580188  0.00243334
           6    0.060198    0.058382  0.00205471
           7     0.05528   0.0579389  0.00180834
           8    0.056326   0.0577373  0.00159349
           9    0.054778   0.0574084  0.00144997
          10    0.056832   0.0573508  0.00130611
          11    0.067406   0.0582649  0.00147292
          12    0.065494   0.0588673  0.00146821
          13    0.049748   0.0581658   0.0015136
          14    0.074156    0.059308  0.00178514
          15     0.05674   0.0591368  0.00167432
          16     0.05639   0.0589651  0.00157845
          17     0.05814   0.0589166  0.00148635
          18    0.051854   0.0585242  0.00145464
          19    0.050918   0.0581239  0.00143211
          20     0.05361   0.0578982  0.00137817
