#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.108848    0.108848           0
           2    0.115642    0.112245  0.00240204
           3    0.103458    0.109316  0.00287814
           4    0.094774     0.10568  0.00381736
           5    0.099998    0.104544  0.00321862
           6     0.08929    0.102002  0.00354688
           7     0.11337    0.103626  0.00339167
           8    0.139224    0.108075  0.00511203
           9    0.123966    0.109841  0.00483934
          10    0.106438    0.109501  0.00436735
          11    0.091844    0.107896  0.00425509
          12    0.112438    0.108274   0.0039173
          13    0.121988    0.109329  0.00375532
          14       0.126     0.11052  0.00367103
          15    0.092692    0.109331  0.00361357
          16    0.122074    0.110128  0.00347438
          17    0.095552     0.10927  0.00337414
          18    0.120976    0.109921  0.00324875
          19    0.133524    0.111163  0.00330676
          20    0.117756    0.111493  0.00315781
