#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.065746    0.065746           0
           2    0.070186    0.067966  0.00156978
           3    0.070092   0.0686747  0.00119583
           4    0.073522   0.0698865   0.0013805
           5    0.074922   0.0708936  0.00142517
           6    0.079814   0.0723803  0.00180346
           7    0.068426   0.0718154   0.0016319
           8    0.082426   0.0731418  0.00189161
           9    0.064742   0.0722084  0.00189775
          10    0.081044    0.073092  0.00190258
          11    0.063662   0.0722347  0.00191303
          12    0.059754   0.0711947  0.00201661
          13    0.068006   0.0709494  0.00187635
          14    0.068366   0.0707649  0.00175137
          15    0.078502   0.0712807  0.00170888
          16    0.058404   0.0704759  0.00178153
          17    0.080244   0.0710505  0.00176697
          18    0.080032   0.0715494  0.00173783
          19    0.083036    0.072154  0.00174836
          20    0.076504   0.0723715  0.00167442
