#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.033634    0.033634           0
           2     0.02499    0.029312  0.00305612
           3      0.0203    0.026308  0.00318858
           4    0.025716     0.02616  0.00239487
           5    0.036718   0.0282716   0.0026903
           6    0.031704   0.0288437  0.00230194
           7    0.027564   0.0286609  0.00198034
           8    0.024506   0.0281415  0.00179961
           9     0.02512   0.0278058  0.00163067
          10     0.03378   0.0284032  0.00157324
          11    0.026722   0.0282504  0.00143762
          12    0.023346   0.0278417  0.00137468
          13    0.025202   0.0276386  0.00128385
          14    0.027206   0.0276077  0.00119252
          15    0.028956   0.0276976   0.0011164
          16    0.026218   0.0276051  0.00105045
          17    0.022746   0.0273193  0.00102681
          18    0.030362   0.0274883 0.000983577
          19     0.03249   0.0277516 0.000966396
          20    0.031912   0.0279596 0.000940198
