#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.038022    0.038022           0
           2    0.027284    0.032653  0.00379646
           3    0.046222    0.037176  0.00447707
           4     0.03151   0.0357595  0.00357487
           5    0.041214   0.0368504  0.00302176
           6    0.032374   0.0361043  0.00260861
           7    0.035578   0.0360291  0.00223704
           8    0.041054   0.0366573  0.00204368
           9    0.043128   0.0373762  0.00193896
          10     0.03126   0.0367646    0.001839
          11    0.040864   0.0371373  0.00170916
          12     0.03794   0.0372042  0.00156804
          13    0.038502    0.037304  0.00145059
          14    0.045558   0.0378936  0.00146189
          15    0.027566   0.0372051  0.00151793
          16    0.037152   0.0372018  0.00142306
          17     0.03197    0.036894  0.00137223
          18    0.038486   0.0369824  0.00129884
          19      0.0337   0.0368097  0.00124191
          20     0.03746   0.0368422  0.00118024
