#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.729923    0.729923           0
           2    0.704404    0.717163  0.00902233
           3    0.658842    0.697723   0.0169745
           4    0.685091    0.694565   0.0130213
           5    0.680073    0.691667   0.0107348
           6    0.722491    0.696804   0.0101004
           7    0.696431    0.696751  0.00865767
           8    0.797761    0.709377   0.0140315
           9     0.62562    0.700071   0.0152495
          10    0.599514    0.690015   0.0167143
          11    0.697486    0.690694   0.0152086
          12    0.655163    0.687733   0.0142265
          13    0.612763    0.681966   0.0142532
          14    0.726844    0.685172   0.0135908
          15     0.65264    0.683003   0.0128566
          16    0.712251    0.684831   0.0121823
          17    0.674793    0.684241     0.01148
          18     0.65581    0.682661   0.0109504
          19      0.6806    0.682553   0.0103746
          20    0.622544    0.679552   0.0102806
