-0.424702    0.000000
-0.422160    0.002542
-0.429006    0.007002
-0.434862    0.007668
-0.430782    0.007206
-0.433303    0.006401
-0.439064    0.007903
-0.443482    0.008146
-0.443550    0.007184
-0.441578    0.006722
-0.440201    0.006234
-0.439389    0.005748
-0.441181    0.005583
-0.441863    0.005214
-0.443074    0.005003
-0.442913    0.004682
-0.443318    0.004417
-0.443034    0.004174
-0.441842    0.004124
-0.440986    0.004005
-0.441492    0.003843
-0.440820    0.003725
-0.441257    0.003586
-0.441812    0.003478
-0.441597    0.003343
-0.442283    0.003284
-0.443405    0.003353
-0.443289    0.003234
-0.442741    0.003168
-0.443786    0.003234
-0.443909    0.003130
-0.442320    0.003422
-0.441390    0.003445
-0.442505    0.003523
-0.443336    0.003520
-0.443707    0.003441
-0.444298    0.003399
-0.444299    0.003308
-0.444015    0.003235
-0.444048    0.003153
-0.443117    0.003213
-0.442409    0.003214
-0.442876    0.003173
-0.443371    0.003139
-0.443817    0.003101
-0.443371    0.003066
-0.442864    0.003042
-0.443567    0.003060
-0.443480    0.002998
-0.443379    0.002940
-0.443390    0.002881
-0.443445    0.002826
-0.443178    0.002785
-0.443574    0.002762
-0.443765    0.002718
-0.444133    0.002694
-0.443688    0.002683
-0.443781    0.002638
-0.443473    0.002611
-0.443155    0.002587
-0.443995    0.002679
-0.444039    0.002636
-0.444297    0.002607
-0.443881    0.002599
-0.443484    0.002589
-0.443734    0.002562
-0.443635    0.002526
-0.443050    0.002556
-0.443191    0.002523
-0.443212    0.002486
-0.442662    0.002512
-0.443343    0.002569
-0.443313    0.002534
-0.443544    0.002510
-0.443951    0.002509
-0.443848    0.002478
-0.444016    0.002452
-0.443997    0.002420
-0.443760    0.002401
-0.443848    0.002372
-0.443326    0.002400
-0.443158    0.002377
-0.442750    0.002383
-0.442684    0.002356
-0.442842    0.002333
-0.442631    0.002315
-0.442520    0.002291
-0.442541    0.002265
-0.442785    0.002253
-0.443204    0.002267
-0.443116    0.002244
-0.443253    0.002223
-0.442996    0.002214
-0.442926    0.002192
-0.441621    0.002531
-0.441499    0.002508
-0.441664    0.002487
-0.441817    0.002466
-0.441773    0.002442
-0.441842    0.002418
