1.800000    0.164892    0.077061    0.104820    1.330540
1.620000   -0.096635    0.017837   -0.288983    0.751801
1.458000   -0.283961    0.015431    0.195235    0.990702
1.312200    0.079784    0.069666   -0.474447    1.231247
1.180980    0.138299    0.074789    0.041543    1.310539
1.062882   -0.011531    0.019951    0.257899    0.699481
0.956594   -0.449689    0.009280    0.805059    0.635414
0.860934   -0.344313    0.014337    0.658841    0.758555
0.774841   -0.077051    0.061410    0.407265    1.171952
0.697357    1.042673    0.159086   -0.284605    1.464391
0.627621    1.122687    0.158741    0.597434    1.397281
0.564859   -0.108011    0.018328   -0.185077    0.774981
0.508373   -0.315096    0.015677    0.654711    0.808116
0.457536   -0.383423    0.011120    0.667615    0.652530
0.411782   -0.221962    0.015935   -0.484389    0.768817
0.370604   -0.079230    0.048381    0.970022    0.761922
0.333544   -0.162749    0.033779   -0.052743    1.165719
0.300189   -0.145150    0.016082   -0.997977    0.504821
0.270170   -0.032733    0.029981    0.696295    0.441346
0.243153   -0.073175    0.018565    1.017638    0.480692
0.218838   -0.306416    0.024251   -0.788377    0.836421
0.196954   -0.204630    0.032279    0.890216    0.777121
0.177259   -0.253440    0.021007    0.264548    0.934759
0.159533   -0.423878    0.009516    0.792340    0.688749
0.143580   -0.371905    0.020694   -0.777957    0.759694
0.129222   -0.398105    0.014130    0.819199    0.697265
0.116299   -0.290993    0.018613   -0.417847    0.917793
0.104670   -0.303926    0.012678    0.991941    0.584535
0.094203   -0.184859    0.053880   -0.658457    0.913029
0.084782   -0.256056    0.015162    0.002049    0.943986
0.076304   -0.160133    0.048953    0.717807    0.954075
0.068674   -0.408723    0.027407    0.796965    0.663087
0.061806   -0.400821    0.007709    0.689389    0.661858
0.055626   -0.368310    0.008953    0.646068    0.645441
0.050063   -0.378254    0.012976    0.767565    0.538657
0.045057   -0.426737    0.007060    0.723175    0.634904
0.040551   -0.437465    0.008191    0.805141    0.586620
0.036496   -0.425060    0.008594    0.739885    0.647572
0.032846   -0.379174    0.014194    0.693342    0.733297
0.029562   -0.441714    0.007923    0.818034    0.604577
0.026606   -0.415515    0.008150    0.783772    0.571072
0.023945   -0.447843    0.007351    0.795087    0.647455
0.021551   -0.447396    0.007420    0.794478    0.615396
0.019395   -0.417875    0.014867    0.767586    0.545065
0.017456   -0.395393    0.012446    0.712198    0.649466
0.015710   -0.437713    0.010029    0.749173    0.566870
0.014139   -0.429858    0.007753    0.885585    0.601153
0.012725   -0.427367    0.010674    0.858240    0.637993
0.011453   -0.443940    0.007482    0.815540    0.594030
0.010308   -0.460746    0.006372    0.805201    0.606159
