#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.442886    0.442886           0
           2    0.430763    0.436824  0.00428605
           3    0.441769    0.438472  0.00315843
           4    0.456203    0.442905   0.0045108
           5    0.431659    0.440656  0.00413148
           6    0.444024    0.441217  0.00348082
           7    0.422714    0.438574   0.0038588
           8    0.435692    0.438214  0.00339322
           9    0.437989    0.438189  0.00301629
          10    0.435365    0.437906  0.00272784
          11    0.430094    0.437196  0.00257066
          12     0.44166    0.437568  0.00238319
          13    0.438149    0.437613  0.00220029
          14    0.456689    0.438975  0.00242868
          15    0.437688    0.438889  0.00226828
          16    0.436786    0.438758  0.00213032
          17    0.459606    0.439984  0.00233143
          18    0.442418     0.44012  0.00220582
          19    0.432014    0.439693  0.00213058
          20    0.431187    0.439268  0.00206607
