#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     25.6118     25.6118           0
           2     23.8747     24.7433    0.614147
           3        24.3     24.5955    0.426832
           4      25.315     24.7754    0.356013
           5     26.0437     25.0291    0.364134
           6      25.166     25.0519     0.30416
           7     23.7599     24.8673    0.311721
           8     24.5652     24.8296    0.275033
           9     25.4305     24.8963    0.252449
          10     24.1149     24.8182    0.238992
          11     23.8542     24.7305    0.232779
          12     24.9217     24.7465    0.213925
          13     24.4907     24.7268    0.198372
          14      26.054     24.8216     0.20561
          15     25.4169     24.8613    0.195695
          16      25.832      24.922     0.19264
          17     25.1629     24.9361    0.181829
          18     23.8244     24.8744    0.181915
          19     23.9331     24.8248     0.17896
          20     25.7181     24.8695    0.175497
