#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.319768    0.319768           0
           2    0.316417    0.318093   0.0011847
           3    0.319352    0.318512  0.00086092
           4    0.314444    0.317495  0.00109221
           5    0.313729    0.316742  0.00110332
           6     0.32288    0.317765  0.00131047
           7    0.320886    0.318211   0.0011967
           8    0.322482    0.318745   0.0011601
           9    0.317769    0.318636  0.00103626
          10    0.325574     0.31933   0.0011415
          11    0.317696    0.319182  0.00104734
          12    0.319571    0.319214 0.000960565
          13    0.315735    0.318946 0.000923202
          14    0.319177    0.318963 0.000857406
          15    0.319561    0.319003 0.000801172
          16     0.31844    0.318968 0.000751871
          17    0.317639    0.318889 0.000711694
          18    0.322246    0.319076 0.000696162
          19    0.315096    0.318866 0.000690309
          20    0.317235    0.318785 0.000660595
