#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     46.4124     46.4124           0
           2     45.7589     46.0857    0.231058
           3     45.2838     45.8184    0.267115
           4     42.2699     44.9313    0.793959
           5     44.0558     44.7562     0.65419
           6     46.2825     45.0106    0.592561
           7     48.1232     45.4552    0.653794
           8     40.6731     44.8575    0.799948
           9     41.5592      44.491    0.790566
          10     41.7905     44.2209    0.756227
          11     42.0692     44.0253    0.712329
          12     43.1607     43.9533    0.656602
          13     44.1481     43.9683    0.606265
          14     41.6251     43.8009    0.585608
          15     46.5636     43.9851    0.574801
          16     44.4494     44.0141    0.539608
          17     41.4674     43.8643    0.528252
          18     39.2273     43.6067    0.558195
          19     46.3021     43.7485    0.546546
          20     44.8807     43.8051    0.522141
