#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.803074   -0.803074           0
           2   -0.804132   -0.803603 0.000374059
           3   -0.803666   -0.803624 0.000249962
           4   -0.805452   -0.804081  0.00043793
           5   -0.803976    -0.80406 0.000350847
           6   -0.803574   -0.803979 0.000301578
           7   -0.804108   -0.803997 0.000259058
           8   -0.806356   -0.804292 0.000356982
           9   -0.802998   -0.804148 0.000345069
          10   -0.804404   -0.804174 0.000311507
          11    -0.80533   -0.804279 0.000300393
          12   -0.803232   -0.804192 0.000287754
          13   -0.804372   -0.804206 0.000265953
          14    -0.80297   -0.804117 0.000261192
          15    -0.80566    -0.80422 0.000263247
          16    -0.80351   -0.804176 0.000250509
          17   -0.805598    -0.80426  0.00024935
          18   -0.803798   -0.804234 0.000236812
          19    -0.80401   -0.804222 0.000224641
          20   -0.804952   -0.804259 0.000216353
