#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.55618    -0.55618           0
           2   -0.554268   -0.555224 0.000675994
           3   -0.555012   -0.555153 0.000454341
           4   -0.556436   -0.555474 0.000439585
           5    -0.55472   -0.555323 0.000376647
           6   -0.553688   -0.555051 0.000400514
           7   -0.556456   -0.555251 0.000390385
           8   -0.554516    -0.55516 0.000352245
           9    -0.55638   -0.555295 0.000338205
          10   -0.555908   -0.555356 0.000309888
          11   -0.553876   -0.555222 0.000309564
          12   -0.551964    -0.55495 0.000384819
          13   -0.554488   -0.554915 0.000356857
          14   -0.554896   -0.554913  0.00033137
          15   -0.555392   -0.554945 0.000310811
          16    -0.55538   -0.554973  0.00029257
          17   -0.556888   -0.555085 0.000296264
          18    -0.55374    -0.55501 0.000289077
          19   -0.554996    -0.55501 0.000273863
          20   -0.553644   -0.554941 0.000268548
