#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.449214    0.449214           0
           2    0.429958    0.439586  0.00680795
           3    0.445531    0.441568  0.00481838
           4    0.437533    0.440559  0.00371787
           5    0.436555    0.439758  0.00305933
           6    0.431804    0.438433   0.0028221
           7    0.436726    0.438189  0.00242945
           8    0.440489    0.438476  0.00214271
           9    0.430892    0.437634   0.0020637
          10    0.447119    0.438582  0.00206383
          11    0.433012    0.438076  0.00193734
          12    0.441172    0.438334    0.001793
          13    0.434771     0.43806  0.00167589
          14    0.446428    0.438658  0.00165937
          15     0.43822    0.438628    0.001549
          16     0.43841    0.438615  0.00145225
          17    0.445868    0.439041  0.00142812
          18    0.435139    0.438825  0.00136514
          19    0.434365     0.43859  0.00131331
          20    0.439671    0.438644  0.00124876
