#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.89238    -0.89238           0
           2   -0.890252   -0.891316 0.000752362
           3   -0.889548   -0.890727 0.000695068
           4   -0.892192   -0.891093  0.00061025
           5   -0.895456   -0.891966 0.000920589
           6    -0.89302   -0.892141 0.000783751
           7   -0.891368   -0.892031 0.000679528
           8   -0.892112   -0.892041 0.000594663
           9   -0.893038   -0.892152 0.000538809
          10   -0.890932    -0.89203 0.000498544
          11   -0.889042   -0.891758 0.000521995
          12    -0.89181   -0.891762 0.000478514
          13   -0.892674   -0.891833 0.000446812
          14     -0.8933   -0.891937 0.000427014
          15   -0.893518   -0.892043 0.000411342
          16   -0.894906   -0.892222  0.00042277
          17   -0.893094   -0.892273 0.000401002
          18   -0.889306   -0.892108  0.00041121
          19   -0.890886   -0.892044 0.000394567
          20    -0.89228   -0.892056 0.000375015
