#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.56408     4.56408           0
           2     4.26632      4.4152    0.105276
           3     4.44333     4.42458   0.0706005
           4     4.53715     4.45272   0.0582906
           5     4.48875     4.45992   0.0470757
           6     4.41226     4.45198   0.0398944
           7     4.53698     4.46412   0.0359956
           8      4.4426     4.46143   0.0315965
           9     4.46202      4.4615   0.0280859
          10     4.47172     4.46252   0.0252959
          11     4.47203     4.46338    0.023011
          12     4.43164     4.46074   0.0212449
          13     4.28262     4.44704   0.0236193
          14     4.27088     4.43446   0.0250607
          15     4.37151     4.43026   0.0237387
          16     4.60414     4.44113   0.0246172
          17      4.4875     4.44385   0.0233197
          18     4.42682     4.44291   0.0220434
          19     4.52059       4.447    0.021259
          20     4.41709      4.4455   0.0202486
