#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.408381    0.408381           0
           2    0.432626    0.420503  0.00857202
           3    0.435382    0.425463  0.00700392
           4    0.413278    0.422417  0.00587818
           5    0.420276    0.421989  0.00471811
           6    0.430946    0.423481  0.00416127
           7    0.409864    0.421536  0.00399574
           8    0.395079    0.418229  0.00466842
           9    0.427369    0.419244  0.00425873
          10    0.429611    0.420281  0.00395702
          11    0.417861    0.420061   0.0036034
          12    0.424561    0.420436  0.00332257
          13     0.40559    0.419294  0.00325735
          14    0.395692    0.417608  0.00343333
          15    0.449522    0.419736  0.00380702
          16    0.411187    0.419202  0.00360638
          17    0.400682    0.418112  0.00355497
          18     0.43671    0.419145   0.0035044
          19    0.436574    0.420063  0.00343792
          20    0.433898    0.420754   0.0033349
