#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.04587     3.04587           0
           2     2.98558     3.01572   0.0213132
           3     2.94057     2.99067   0.0249056
           4     2.96492     2.98423   0.0194937
           5     2.98756      2.9849   0.0156063
           6     2.87466     2.96653   0.0212234
           7      2.9083     2.95821   0.0197544
           8     2.96102     2.95856   0.0172882
           9     3.08963     2.97312   0.0206079
          10     3.02245     2.97806   0.0191284
          11     2.92263     2.97302   0.0180409
          12     2.96627     2.97245   0.0165462
          13     2.93589     2.96964   0.0155107
          14     3.07548      2.9772   0.0161403
          15     2.92715     2.97386   0.0154053
          16     3.01756      2.9766   0.0146825
          17     2.96353     2.97583   0.0138389
          18     3.07799      2.9815   0.0141863
          19      2.9761     2.98122   0.0134425
          20     2.98478      2.9814   0.0127716
