#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.244783    0.244783           0
           2    0.251393    0.248088  0.00233681
           3    0.247908    0.248028  0.00155864
           4    0.251927    0.249003  0.00144193
           5    0.250936    0.249389  0.00120424
           6    0.245421    0.248728  0.00117113
           7    0.253239    0.249372  0.00116772
           8    0.252357    0.249746  0.00107972
           9    0.251347    0.249924 0.000974309
          10     0.25424    0.250355 0.000967781
          11    0.253109    0.250606 0.000911611
          12    0.249656    0.250526 0.000839068
          13    0.248274    0.250353 0.000792207
          14    0.251614    0.250443 0.000740719
          15    0.246747    0.250197 0.000731176
          16    0.252876    0.250364 0.000704391
          17    0.245128    0.250056 0.000727198
          18    0.253181     0.25023 0.000707215
          19    0.246431     0.25003 0.000697683
          20    0.249729    0.250015 0.000662962
