#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.402397    0.402397           0
           2    0.396356    0.399376   0.0021356
           3    0.396519    0.398424   0.0016223
           4    0.396708    0.397995  0.00127218
           5    0.397624    0.397921   0.0010199
           6    0.402212    0.398636  0.00107173
           7    0.399037    0.398693 0.000920158
           8    0.393306     0.39802  0.00102224
           9    0.400123    0.398254 0.000934996
          10    0.399122     0.39834 0.000845516
          11    0.396303    0.398155 0.000788685
          12    0.397738     0.39812 0.000723725
          13    0.387641    0.397314  0.00102282
          14    0.404169    0.397804  0.00106051
          15     0.40873    0.398532  0.00121448
          16    0.406852    0.399052  0.00124491
          17    0.396703    0.398914  0.00117932
          18    0.391491    0.398502  0.00118371
          19    0.394168    0.398274  0.00114318
          20    0.398068    0.398263  0.00108607
