#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.584412   -0.584412           0
           2   -0.583272   -0.583842 0.000403051
           3   -0.583832   -0.583839 0.000268714
           4    -0.58434   -0.583964 0.000228906
           5   -0.582888   -0.583749 0.000265676
           6   -0.584036   -0.583797 0.000225667
           7   -0.584856   -0.583948 0.000238841
           8   -0.582572   -0.583776 0.000263744
           9    -0.58512   -0.583925 0.000273467
          10   -0.584224   -0.583955 0.000247746
          11   -0.582556   -0.583828 0.000255802
          12   -0.579464   -0.583464  0.00041978
          13   -0.582528   -0.583392  0.00039362
          14   -0.582772   -0.583348  0.00036799
          15    -0.58376   -0.583375 0.000344481
          16   -0.583876   -0.583407 0.000324368
          17   -0.585352   -0.583521 0.000324844
          18   -0.583024   -0.583494 0.000307969
          19   -0.582692   -0.583451 0.000294636
          20   -0.581884   -0.583373 0.000290139
