#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.69005     7.69005           0
           2     7.59591     7.64298   0.0332821
           3     7.50994     7.59863   0.0424655
           4     7.28419     7.52002   0.0751612
           5     7.19775     7.45557   0.0833002
           6     6.94686     7.37078    0.103966
           7     7.67719     7.41456   0.0978959
           8     7.23651      7.3923   0.0881526
           9     7.34156     7.38666   0.0785379
          10     7.60445     7.40844   0.0736419
          11     7.51506     7.41813   0.0675821
          12     7.14281     7.39519   0.0657296
          13     7.47802     7.40156   0.0609815
          14     7.10241     7.38019   0.0602532
          15     7.62984     7.39684   0.0584898
          16     7.37759     7.39563   0.0548465
          17     7.13232     7.38014   0.0537629
          18     7.39693     7.38108   0.0507842
          19     7.32028     7.37788    0.048212
          20     7.29219     7.37359   0.0459914
