#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.938952   -0.938952           0
           2   -0.936316   -0.937634 0.000931967
           3   -0.936188   -0.937152 0.000735466
           4    -0.93228   -0.935934  0.00119034
           5   -0.935182   -0.935784 0.000961725
           6   -0.936596   -0.935919 0.000810913
           7   -0.940708   -0.936603 0.000940376
           8   -0.933778    -0.93625 0.000886662
           9    -0.93116   -0.935684 0.000951569
          10   -0.931876   -0.935304 0.000929505
          11   -0.932676   -0.935065 0.000875161
          12    -0.93405    -0.93498 0.000806306
          13   -0.935674   -0.935034 0.000746046
          14    -0.93312   -0.934897 0.000705167
          15   -0.936954   -0.935034 0.000671359
          16   -0.936246    -0.93511 0.000633658
          17   -0.932802   -0.934974 0.000610752
          18    -0.92809   -0.934592 0.000686193
          19    -0.93643   -0.934688 0.000656864
          20   -0.935438   -0.934726  0.00062509
