#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.30481     0.30481           0
           2    0.323911     0.31436  0.00675338
           3    0.361651    0.330124   0.0136357
           4    0.331206    0.330394   0.0102295
           5    0.332435    0.330803  0.00819171
           6    0.309913    0.327321  0.00753003
           7    0.313075    0.325286  0.00672371
           8    0.316888    0.324236  0.00596462
           9     0.33728    0.325685  0.00547515
          10    0.355336     0.32865  0.00567395
          11    0.305927    0.326585  0.00552139
          12    0.339748    0.327682  0.00516908
          13    0.270417    0.323277  0.00637794
          14    0.288599      0.3208  0.00638527
          15    0.271844    0.317536  0.00674229
          16    0.305616    0.316791  0.00636193
          17    0.338387    0.318061  0.00611322
          18    0.316955       0.318   0.0057739
          19    0.373872     0.32094   0.0061736
          20    0.345194    0.322153  0.00598284
