#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.75104     1.75104           0
           2     1.71854     1.73479   0.0114913
           3     1.71976     1.72978  0.00868473
           4     1.70141     1.72269  0.00895315
           5     1.71403     1.72096  0.00732801
           6     1.69169     1.71608  0.00755777
           7     1.69306     1.71279  0.00715793
           8     1.62474     1.70178   0.0120504
           9     1.66663     1.69788   0.0113268
          10     1.70754     1.69884   0.0102352
          11     1.69704     1.69868  0.00930605
          12     1.69765     1.69859  0.00853095
          13     1.70002      1.6987  0.00787543
          14     1.69394     1.69836  0.00732026
          15     1.69067     1.69785  0.00685019
          16     1.69037     1.69738    0.006438
          17     1.70829     1.69802  0.00609118
          18     1.64065     1.69484  0.00653378
          19     1.68912     1.69454  0.00619683
          20     1.69942     1.69478   0.0058918
