#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.52183     2.52183           0
           2     2.46223     2.49203   0.0210708
           3     2.65374     2.54593    0.046198
           4     2.53927     2.54427   0.0346785
           5     2.52487     2.54039    0.027959
           6     2.58343     2.54756   0.0242021
           7     2.61183     2.55674   0.0224189
           8     2.46874     2.54574   0.0221515
           9     2.50156     2.54083   0.0202269
          10     2.49167     2.53592   0.0187922
          11     2.48933     2.53168   0.0175546
          12     2.53973     2.53235   0.0161045
          13     2.54655     2.53344   0.0149027
          14     2.55075     2.53468   0.0138893
          15     2.53969     2.53501   0.0129674
          16     2.63287     2.54113   0.0135224
          17     2.53198     2.54059   0.0127377
          18     2.50226     2.53846   0.0122068
          19     2.53422     2.53824   0.0115664
          20     2.52921     2.53779   0.0109969
