#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.761984   -0.761984           0
           2    -0.76091   -0.761447 0.000379716
           3   -0.762274   -0.761723 0.000338738
           4    -0.76043   -0.761399 0.000377982
           5   -0.761714   -0.761462 0.000307575
           6   -0.760274   -0.761264 0.000313669
           7    -0.76145   -0.761291 0.000269978
           8   -0.761932   -0.761371 0.000247841
           9   -0.761426   -0.761377 0.000220378
          10   -0.763368   -0.761576 0.000273883
          11   -0.763236   -0.761727 0.000287561
          12   -0.760514   -0.761626 0.000280805
          13   -0.761678    -0.76163 0.000259233
          14    -0.76038   -0.761541  0.00025563
          15   -0.762512   -0.761605 0.000246653
          16   -0.760132   -0.761513 0.000247834
          17    -0.76132   -0.761502 0.000233516
          18   -0.762606   -0.761563 0.000228456
          19   -0.760728   -0.761519 0.000220622
          20   -0.762616   -0.761574 0.000216297
