#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.194002    0.194002           0
           2    0.200674    0.197338  0.00235894
           3    0.194615    0.196431  0.00173853
           4    0.194729    0.196005  0.00135492
           5    0.200835    0.196971  0.00138613
           6    0.194228    0.196514  0.00122821
           7    0.194563    0.196235  0.00108391
           8    0.198411    0.196507 0.000981942
           9    0.199897    0.196884 0.000942304
          10    0.197317    0.196927 0.000849067
          11    0.194712    0.196726 0.000795405
          12    0.195283    0.196606  0.00073815
          13    0.197994    0.196712 0.000689051
          14    0.198168    0.196816 0.000647634
          15    0.195278    0.196714  0.00061252
          16    0.195889    0.196662 0.000576404
          17    0.193397     0.19647 0.000573604
          18    0.199195    0.196622 0.000561355
          19    0.197072    0.196645  0.00053231
          20      0.1975    0.196688 0.000507405
