#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.3568     10.3568           0
           2     10.2548     10.3058   0.0360389
           3     10.5495      10.387   0.0705578
           4     10.4948      10.414   0.0578297
           5     10.1194     10.3551    0.070117
           6     10.3381     10.3522   0.0584876
           7     10.6092      10.389   0.0605679
           8     10.6753     10.4248   0.0626869
           9     9.96539     10.3737   0.0736242
          10     9.95089     10.3314   0.0774573
          11     10.7438     10.3689   0.0789685
          12     10.0265     10.3404   0.0773716
          13     10.2002     10.3296   0.0721676
          14     10.2129     10.3213   0.0674924
          15     10.5864     10.3389   0.0652673
          16     10.1128     10.3248   0.0626993
          17     10.8429     10.3553   0.0660033
          18     9.77121     10.3228   0.0698588
          19     10.4737     10.3308   0.0666316
          20     9.85398     10.3069   0.0674301
