#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.91129     1.91129           0
           2     1.89567     1.90348  0.00552042
           3     1.87085      1.8926   0.0096121
           4     1.92685     1.90117    0.010342
           5     1.91649     1.90423  0.00871578
           6     1.91088     1.90534   0.0073332
           7     1.93979     1.91026  0.00776306
           8     1.84053     1.90154   0.0106122
           9      1.8537     1.89623   0.0106818
          10     1.85608     1.89221   0.0103406
          11     1.85336     1.88868  0.00998553
          12     1.90924     1.89039  0.00929918
          13     1.83564     1.88618  0.00948973
          14     1.91852     1.88849  0.00908865
          15     1.93279     1.89145  0.00894964
          16     1.90379     1.89222  0.00842348
          17     1.91902     1.89379  0.00807419
          18     1.89512     1.89387  0.00762596
          19     1.88194     1.89324  0.00725039
          20     1.92885     1.89502  0.00710316
