#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.53208    -0.53208           0
           2    -0.52824    -0.53016  0.00135765
           3   -0.528012   -0.529444  0.00107748
           4   -0.530728   -0.529765 0.000854592
           5   -0.529712   -0.529754 0.000683739
           6    -0.52894   -0.529619   0.0005831
           7   -0.529428   -0.529591 0.000500435
           8   -0.527064   -0.529276 0.000528275
           9   -0.531376   -0.529509 0.000518576
          10   -0.528596   -0.529418 0.000474686
          11   -0.526552   -0.529157 0.000497911
          12   -0.526192    -0.52891 0.000514086
          13   -0.525864   -0.528676 0.000525229
          14   -0.530572   -0.528811 0.000504876
          15   -0.528896   -0.528817  0.00047125
          16   -0.530572   -0.528927 0.000454386
          17   -0.531728   -0.529091 0.000456563
          18   -0.527984    -0.52903 0.000435323
          19   -0.527948   -0.528973 0.000416118
          20     -0.5275   -0.528899 0.000401776
