#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.683096   -0.683096           0
           2   -0.682164    -0.68263 0.000329512
           3   -0.682576   -0.682612 0.000220166
           4   -0.683768   -0.682901 0.000299845
           5   -0.681416   -0.682604 0.000357921
           6   -0.682036   -0.682509 0.000310535
           7   -0.684808   -0.682838 0.000404075
           8   -0.683076   -0.682868 0.000354662
           9   -0.683472   -0.682935 0.000321552
          10   -0.682356   -0.682877 0.000294558
          11    -0.68222   -0.682817 0.000273765
          12   -0.680088    -0.68259 0.000332247
          13   -0.683248    -0.68264 0.000310525
          14   -0.679168   -0.682392 0.000374518
          15   -0.681852   -0.682356 0.000351278
          16   -0.684172    -0.68247  0.00034717
          17   -0.684584   -0.682594 0.000348313
          18   -0.681612    -0.68254 0.000333208
          19   -0.683136   -0.682571 0.000317146
          20   -0.682192   -0.682552 0.000301855
