#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     81.5617     81.5617           0
           2     79.7962     80.6789     0.62417
           3     75.0638     78.8072     1.58388
           4     79.4299     78.9629     1.19553
           5      77.012     78.5727     1.01811
           6       82.47     79.2223     1.03509
           7     80.6476     79.4259    0.907025
           8     80.9658     79.6184    0.813817
           9     78.8544     79.5335    0.727807
          10     77.0913     79.2893    0.694792
          11     80.8852     79.4344    0.646599
          12     75.5685     79.1122    0.668166
          13      85.689     79.6181    0.785277
          14     83.4699     79.8932    0.775886
          15     85.1387     80.2429    0.799089
          16     81.8699     80.3446    0.755588
          17     77.3988     80.1713    0.730741
          18     80.0626     80.1653     0.69017
          19     75.8002     79.9356    0.691025
          20     77.4293     79.8102    0.667739
