#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.52741     1.52741           0
           2     1.53629     1.53185  0.00314104
           3     1.47851     1.51407   0.0146695
           4     1.53197     1.51854   0.0116646
           5     1.52701     1.52024  0.00945391
           6     1.48351     1.51412  0.00965911
           7     1.50583     1.51293  0.00835144
           8     1.49655     1.51089   0.0075545
           9       1.504     1.51012  0.00675374
          10     1.51053     1.51016  0.00607849
          11      1.5164     1.51073  0.00555231
          12     1.50194        1.51  0.00513771
          13     1.50877      1.5099  0.00474336
          14     1.47489      1.5074  0.00502078
          15     1.49041     1.50627  0.00481207
          16     1.51521     1.50683  0.00454366
          17     1.51933     1.50756  0.00433554
          18     1.57124      1.5111   0.0053467
          19     1.47238     1.50906  0.00543986
          20     1.50807     1.50901   0.0051681
