#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.647208   -0.647208           0
           2   -0.646556   -0.646882 0.000230517
           3   -0.647052   -0.646939 0.000160492
           4   -0.647276   -0.647023 0.000140793
           5   -0.647088   -0.647036 0.000113233
           6   -0.647504   -0.647114 0.000118212
           7   -0.647628   -0.647187 0.000122017
           8   -0.646988   -0.647163 0.000109282
           9   -0.648204   -0.647278 0.000146081
          10   -0.646932   -0.647244 0.000135514
          11   -0.645608   -0.647095 0.000187819
          12   -0.644236   -0.646857 0.000285782
          13   -0.645968   -0.646788 0.000271851
          14    -0.64524   -0.646678 0.000274007
          15   -0.645868   -0.646624 0.000261003
          16    -0.64788   -0.646702 0.000256228
          17   -0.647352    -0.64674  0.00024399
          18   -0.648796   -0.646855 0.000255766
          19   -0.646404   -0.646831 0.000243402
          20   -0.643452   -0.646662 0.000283874
