#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.9654     15.9654           0
           2     14.8222     15.3938    0.404187
           3     14.9485     15.2454    0.295457
           4     15.9121     15.4121     0.26447
           5     15.1621     15.3621    0.216248
           6     15.4474     15.3763    0.180674
           7      14.126     15.1977    0.226562
           8     14.8914     15.1594    0.201449
           9      14.495     15.0856    0.192115
          10     14.8929     15.0663    0.173867
          11     15.1246     15.0716    0.158142
          12      15.346     15.0945    0.146607
          13     15.1288     15.0971    0.135353
          14      15.445      15.122    0.127946
          15      15.439     15.1431    0.121149
          16     15.3403     15.1554    0.114203
          17     15.4573     15.1732    0.108857
          18     15.2109     15.1753    0.102829
          19     14.1174     15.1196    0.111478
          20     14.4941     15.0883    0.110204
