#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.288552    0.288552           0
           2    0.291666    0.290109  0.00110088
           3    0.298575    0.292931  0.00241817
           4    0.295813    0.293651  0.00191792
           5    0.294919    0.293905  0.00155099
           6    0.289071    0.293099   0.0014871
           7     0.29815    0.293821  0.00143908
           8    0.293873    0.293827  0.00125921
           9    0.290973     0.29351  0.00115854
          10    0.293036    0.293463  0.00104366
          11    0.294102    0.293521 0.000950394
          12    0.297075    0.293817 0.000916172
          13    0.295396    0.293938 0.000853708
          14    0.298962    0.294297 0.000864849
          15    0.291711    0.294125 0.000824203
          16    0.291602    0.293967 0.000787627
          17    0.292505    0.293881 0.000745978
          18    0.297397    0.294076 0.000729656
          19    0.291064    0.293918 0.000708271
          20    0.290982    0.293771 0.000687897
