#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.50658    -0.50658           0
           2    -0.50398    -0.50528 0.000919239
           3    -0.50428   -0.504947 0.000670544
           4   -0.504904   -0.504936 0.000502993
           5   -0.503736   -0.504696 0.000456072
           6   -0.503776   -0.504543 0.000405016
           7   -0.506464   -0.504817 0.000430224
           8   -0.504672   -0.504799 0.000376828
           9   -0.506752   -0.505016 0.000392497
          10   -0.504336   -0.504948  0.00035909
          11    -0.50456   -0.504913 0.000328173
          12    -0.50168   -0.504643 0.000396259
          13   -0.502412   -0.504472 0.000401233
          14   -0.505848    -0.50457 0.000384428
          15   -0.504608   -0.504573 0.000358808
          16   -0.505976    -0.50466 0.000346938
          17   -0.506552   -0.504772 0.000343914
          18   -0.505228   -0.504797 0.000325741
          19   -0.504348   -0.504773 0.000309452
          20   -0.503192   -0.504694 0.000303912
