#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.18528     2.18528           0
           2     2.21584     2.20056   0.0108046
           3     2.20424     2.20179  0.00727208
           4     2.25377     2.21478   0.0125061
           5      2.1471     2.20124   0.0157069
           6     2.12424     2.18841   0.0175669
           7     2.23685     2.19533   0.0163639
           8     2.19255     2.19498   0.0143221
           9     2.17648     2.19293   0.0128774
          10     2.14479     2.18811    0.012457
          11     2.13512      2.1833   0.0122206
          12     2.16083     2.18142   0.0113447
          13     2.23219     2.18533   0.0111239
          14     2.23983     2.18922   0.0109894
          15     2.12011     2.18461   0.0111811
          16     2.25844     2.18923   0.0113945
          17     2.25161      2.1929   0.0112997
          18     2.18693     2.19257   0.0106768
          19     2.16879     2.19131    0.010188
          20     2.08772     2.18614   0.0109162
