#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.336716    0.336716           0
           2     0.34056    0.338638  0.00135913
           3    0.353464     0.34358  0.00413544
           4    0.353407    0.346037  0.00376112
           5    0.344587    0.345747  0.00302005
           6    0.344805     0.34559  0.00252078
           7    0.341322     0.34498  0.00223317
           8    0.339611    0.344309  0.00205241
           9    0.344764    0.344359  0.00182498
          10    0.338971    0.343821  0.00172019
          11    0.341299    0.343591  0.00157901
          12    0.339919    0.343285  0.00147679
          13    0.342142    0.343197  0.00136581
          14    0.346208    0.343412  0.00128506
          15    0.343218    0.343399  0.00119946
          16    0.345865    0.343554  0.00113435
          17     0.34419    0.343591  0.00106824
          18     0.35204     0.34406  0.00110722
          19    0.339577    0.343824   0.0010738
          20    0.345475    0.343907  0.00102327
