#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.268627    0.268627           0
           2    0.271246    0.269937 0.000925706
           3    0.274602    0.271492  0.00141167
           4    0.272752    0.271807  0.00109335
           5    0.272468    0.271939 0.000882644
           6    0.268559    0.271376 0.000897444
           7     0.27743    0.272241  0.00111034
           8    0.268363    0.271756  0.00107215
           9    0.267332    0.271264  0.00105974
          10     0.26916    0.271054 0.000974426
          11    0.267593    0.270739 0.000935269
          12    0.266976    0.270426 0.000908379
          13    0.272719    0.270602 0.000855465
          14    0.270754    0.270613 0.000794429
          15    0.268823    0.270494 0.000750377
          16    0.274521    0.270745 0.000744494
          17    0.272436    0.270845 0.000707312
          18    0.277085    0.271191 0.000748162
          19    0.273886    0.271333 0.000722101
          20    0.268998    0.271216 0.000695368
