#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.97718    -0.97718           0
           2   -0.975072   -0.976126 0.000745291
           3   -0.970154   -0.974135  0.00169962
           4    -0.97389   -0.974074  0.00127582
           5   -0.971996   -0.973658  0.00108624
           6    -0.97766   -0.974325   0.0010909
           7   -0.975962   -0.974559 0.000959783
           8   -0.975734   -0.974706 0.000850971
           9   -0.973458   -0.974567 0.000767634
          10   -0.971674   -0.974278   0.0007434
          11   -0.976394    -0.97447 0.000700265
          12    -0.97132   -0.974208 0.000689366
          13   -0.980936   -0.974725 0.000807577
          14    -0.97857      -0.975 0.000795215
          15    -0.98068   -0.975379 0.000827461
          16   -0.976422   -0.975444 0.000778309
          17    -0.97262   -0.975278 0.000750043
          18   -0.975384   -0.975284 0.000708397
          19   -0.970012   -0.975006 0.000723411
          20    -0.97183   -0.974847 0.000704456
