#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.209361    0.209361           0
           2    0.217678    0.213519  0.00294047
           3      0.2105    0.212513  0.00212558
           4     0.20932    0.211714  0.00173764
           5    0.214231    0.212218  0.00146117
           6    0.210271    0.211893  0.00125313
           7    0.216143      0.2125  0.00121229
           8    0.213685    0.212648  0.00106976
           9    0.214384    0.212841 0.000968108
          10    0.212606    0.212818 0.000871584
          11     0.21121    0.212672 0.000804514
          12    0.209993    0.212448 0.000767803
          13    0.214289     0.21259 0.000721674
          14    0.213535    0.212657 0.000673277
          15     0.21126    0.212564 0.000634808
          16    0.210809    0.212455 0.000604541
          17    0.211274    0.212385 0.000572956
          18    0.214862    0.212523 0.000557403
          19    0.212462    0.212519 0.000528075
          20    0.214639    0.212625 0.000512194
