#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.66932     5.66932           0
           2     5.65052     5.65992   0.0066468
           3      5.6136     5.64448   0.0133628
           4     5.77987     5.67833   0.0309771
           5     5.63444     5.66955   0.0259956
           6     5.69873     5.67441   0.0221131
           7     5.61355     5.66572   0.0205927
           8     5.64884     5.66361   0.0181264
           9     5.62679     5.65952   0.0165675
          10     5.35647     5.62921   0.0323861
          11      5.3739       5.606   0.0368318
          12     5.82158     5.62397   0.0378911
          13     5.60211     5.62229   0.0350137
          14     5.87955     5.64066   0.0370219
          15     5.67125      5.6427   0.0346099
          16     5.69152     5.64575    0.032581
          17      5.4774     5.63585   0.0321343
          18     5.46015     5.62609   0.0317971
          19     5.67741     5.62879   0.0302381
          20     5.48734     5.62172   0.0295417
