#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.371223    0.371223           0
           2    0.376471    0.373847  0.00185545
           3     0.36957    0.372421  0.00169858
           4    0.379663    0.374231  0.00202016
           5    0.372753    0.373936  0.00163764
           6    0.368734    0.373069  0.00157758
           7     0.37282    0.373033  0.00135261
           8    0.371705    0.372867  0.00119368
           9    0.369137    0.372453  0.00113071
          10    0.372041    0.372411  0.00101839
          11    0.376618    0.372794 0.000995019
          12    0.370711     0.37262 0.000927117
          13    0.367523    0.372228 0.000935056
          14    0.361865    0.371488  0.00112369
          15     0.37067    0.371433   0.0010501
          16    0.369451    0.371309 0.000991753
          17    0.376315    0.371604 0.000976143
          18    0.364876     0.37123 0.000990883
          19    0.370814    0.371208 0.000938973
          20    0.372522    0.371274  0.00089432
