#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.717684   -0.717684           0
           2   -0.721556    -0.71962  0.00136896
           3   -0.719364   -0.719535 0.000915295
           4   -0.722188   -0.720198 0.000895126
           5   -0.720736   -0.720306 0.000722539
           6   -0.720484   -0.720335 0.000602727
           7   -0.720512   -0.720361 0.000517152
           8    -0.72116   -0.720461 0.000462061
           9   -0.720924   -0.720512 0.000413581
          10   -0.717092    -0.72017 0.000493779
          11   -0.718924   -0.720057   0.0004617
          12     -0.7185   -0.719927 0.000441073
          13   -0.721224   -0.720027 0.000418276
          14   -0.720472   -0.720059 0.000389607
          15   -0.720752   -0.720105 0.000366365
          16   -0.722252   -0.720239 0.000367224
          17   -0.721028   -0.720285 0.000348544
          18   -0.719312   -0.720231 0.000333349
          19   -0.721704   -0.720309  0.00032469
          20   -0.719804   -0.720284 0.000309435
