#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.36088     1.36088           0
           2     1.33851      1.3497  0.00790899
           3     1.36757     1.35566  0.00717417
           4     1.32218     1.34729  0.00902693
           5     1.33773     1.34538  0.00742119
           6     1.33835     1.34421   0.0062761
           7     1.33706     1.34318  0.00546193
           8     1.36472     1.34588  0.00540178
           9     1.37738     1.34938  0.00582666
          10     1.38717     1.35316  0.00635264
          11     1.35863     1.35365  0.00579456
          12     1.35207     1.35352  0.00531318
          13     1.35164     1.35338  0.00490645
          14     1.36005     1.35385  0.00457911
          15     1.37204     1.35507  0.00443138
          16     1.34639     1.35452  0.00418746
          17     1.34442     1.35393  0.00398309
          18     1.35336      1.3539  0.00376193
          19     1.38906     1.35575  0.00399323
          20     1.33937     1.35493  0.00387667
