#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.464268   -0.464268           0
           2    -0.46164   -0.462954 0.000929138
           3   -0.462952   -0.462953 0.000619426
           4   -0.464104   -0.463241 0.000527152
           5    -0.46228   -0.463049 0.000455414
           6   -0.462888   -0.463022 0.000380299
           7   -0.463652   -0.463112 0.000336452
           8   -0.463112   -0.463112 0.000294395
           9   -0.465036   -0.463326 0.000330306
          10   -0.462928   -0.463286 0.000299661
          11   -0.463048   -0.463264 0.000273199
          12   -0.458332   -0.462853 0.000466458
          13   -0.459892   -0.462626 0.000483007
          14   -0.462256   -0.462599 0.000449227
          15   -0.462616     -0.4626  0.00041928
          16     -0.4629   -0.462619 0.000393493
          17   -0.463696   -0.462682 0.000375412
          18   -0.461024    -0.46259 0.000365686
          19     -0.4641    -0.46267 0.000354968
          20   -0.461452   -0.462609 0.000342401
