#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.456818    0.456818           0
           2    0.428459    0.442638   0.0100265
           3    0.437979    0.441085  0.00680352
           4    0.440832    0.441022  0.00510294
           5    0.432081    0.439234   0.0043845
           6    0.425706    0.436979  0.00419356
           7    0.423744    0.435088  0.00399807
           8    0.426108    0.433966   0.0036525
           9    0.426932    0.433184  0.00332924
          10    0.438417    0.433708  0.00303717
          11    0.445698    0.434798   0.0029502
          12    0.435629    0.434867  0.00270516
          13    0.432458    0.434682  0.00250341
          14    0.453493    0.436025  0.00266086
          15    0.433239     0.43584  0.00248995
          16    0.435483    0.435817  0.00233443
          17    0.439615    0.436041  0.00220777
          18    0.433416    0.435895  0.00208993
          19    0.422651    0.435198  0.00209295
          20    0.446033     0.43574  0.00205723
