#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.614548   -0.614548           0
           2   -0.612584   -0.613566 0.000694379
           3   -0.612476   -0.613203  0.00054982
           4    -0.61508   -0.613672 0.000579008
           5   -0.615576   -0.614053 0.000574949
           6    -0.61402   -0.614047 0.000479151
           7   -0.614316   -0.614086 0.000412235
           8   -0.614664   -0.614158 0.000366988
           9    -0.61358   -0.614094 0.000331784
          10   -0.613448   -0.614029 0.000304825
          11   -0.612588   -0.613898 0.000303969
          12    -0.60984    -0.61356 0.000427172
          13   -0.612868   -0.613507 0.000397615
          14   -0.614072   -0.613547 0.000371258
          15   -0.613336   -0.613533 0.000346774
          16   -0.613996   -0.613562 0.000326306
          17   -0.614808   -0.613635 0.000315236
          18   -0.615156    -0.61372 0.000308836
          19   -0.612796   -0.613671 0.000296384
          20    -0.61262   -0.613619 0.000286187
