#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.848664   -0.848664           0
           2   -0.848304   -0.848484 0.000127279
           3    -0.84828   -0.848416 0.000101403
           4   -0.848166   -0.848353 9.33471e-05
           5   -0.849106   -0.848504 0.000153938
           6   -0.848682   -0.848534 0.000131109
           7   -0.845822   -0.848146  0.00037584
           8   -0.848406   -0.848179 0.000330259
           9   -0.844994   -0.847825 0.000444392
          10   -0.847978    -0.84784 0.000400216
          11   -0.847478   -0.847807 0.000365185
          12   -0.846708   -0.847716 0.000346052
          13   -0.848382   -0.847767 0.000323206
          14   -0.847374   -0.847739 0.000301336
          15       -0.85    -0.84789 0.000316715
          16    -0.85037   -0.848045 0.000332705
          17   -0.848658   -0.848081 0.000315084
          18    -0.84917   -0.848141 0.000303335
          19   -0.846704   -0.848066 0.000296652
          20   -0.847256   -0.848025 0.000284568
