#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.227132    0.227132           0
           2     0.23317    0.230151  0.00213494
           3    0.233559    0.231287  0.00169888
           4    0.230557    0.231105  0.00128392
           5    0.228303    0.230544  0.00114288
           6    0.232639    0.230894  0.00100431
           7    0.232659    0.231146 0.000891943
           8    0.231703    0.231215 0.000783163
           9    0.228225    0.230883 0.000763385
          10    0.230031    0.230798 0.000691787
          11    0.233408    0.231035 0.000668341
          12    0.229902    0.230941 0.000619278
          13    0.233009      0.2311 0.000591726
          14    0.230391    0.231049 0.000551623
          15    0.226981    0.230778 0.000577685
          16    0.230733    0.230775 0.000541587
          17     0.23314    0.230914 0.000527292
          18    0.233605    0.231064 0.000518761
          19    0.230851    0.231053 0.000491578
          20    0.229793     0.23099 0.000471014
