#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.65893     3.65893           0
           2     3.50398     3.58145   0.0547823
           3     3.63755     3.60015   0.0395845
           4     3.77148     3.64298    0.047512
           5     3.77029     3.66844   0.0443093
           6     3.51332     3.64259   0.0438231
           7     3.56108     3.63095   0.0390789
           8     3.45677     3.60917   0.0397994
           9     3.69989     3.61925   0.0366314
          10     3.48467      3.6058   0.0353543
          11     3.51329     3.59739   0.0331253
          12     3.53942     3.59256   0.0307151
          13     3.64123      3.5963   0.0285797
          14     3.45585     3.58627   0.0282443
          15      3.5901     3.58652   0.0263625
          16     3.65353     3.59071   0.0250452
          17     3.49115     3.58485   0.0242471
          18     3.54214     3.58248   0.0230158
          19     3.62427     3.58468   0.0219093
          20     3.50782     3.58084   0.0211482
