108
#Comment!
LJ  0.000000   0.000000   0.000000
LJ  0.083334   0.083334   0.000000
LJ  0.000000   0.083334   0.083334
LJ  0.083334   0.000000   0.083334
LJ  0.166666   0.000000   0.000000
LJ  0.250000   0.083334   0.000000
LJ  0.166666   0.083334   0.083334
LJ  0.250000   0.000000   0.083334
LJ  0.333334   0.000000   0.000000
LJ  0.416666   0.083334   0.000000
LJ  0.333334   0.083334   0.083334
LJ  0.416666   0.000000   0.083334
LJ  0.000000   0.166666   0.000000
LJ  0.083334   0.250000   0.000000
LJ  0.000000   0.250000   0.083334
LJ  0.083334   0.166666   0.083334
LJ  0.166666   0.166666   0.000000
LJ  0.250000   0.250000   0.000000
LJ  0.166666   0.250000   0.083334
LJ  0.250000   0.166666   0.083334
LJ  0.333334   0.166666   0.000000
LJ  0.416666   0.250000   0.000000
LJ  0.333334   0.250000   0.083334
LJ  0.416666   0.166666   0.083334
LJ  0.000000   0.333334   0.000000
LJ  0.083334   0.416666   0.000000
LJ  0.000000   0.416666   0.083334
LJ  0.083334   0.333334   0.083334
LJ  0.166666   0.333334   0.000000
LJ  0.250000   0.416666   0.000000
LJ  0.166666   0.416666   0.083334
LJ  0.250000   0.333334   0.083334
LJ  0.333334   0.333334   0.000000
LJ  0.416666   0.416666   0.000000
LJ  0.333334   0.416666   0.083334
LJ  0.416666   0.333334   0.083334
LJ  0.000000   0.000000   0.166666
LJ  0.083334   0.083334   0.166666
LJ  0.000000   0.083334   0.250000
LJ  0.083334   0.000000   0.250000
LJ  0.166666   0.000000   0.166666
LJ  0.250000   0.083334   0.166666
LJ  0.166666   0.083334   0.250000
LJ  0.250000   0.000000   0.250000
LJ  0.333334   0.000000   0.166666
LJ  0.416666   0.083334   0.166666
LJ  0.333334   0.083334   0.250000
LJ  0.416666   0.000000   0.250000
LJ  0.000000   0.166666   0.166666
LJ  0.083334   0.250000   0.166666
LJ  0.000000   0.250000   0.250000
LJ  0.083334   0.166666   0.250000
LJ  0.166666   0.166666   0.166666
LJ  0.250000   0.250000   0.166666
LJ  0.166666   0.250000   0.250000
LJ  0.250000   0.166666   0.250000
LJ  0.333334   0.166666   0.166666
LJ  0.416666   0.250000   0.166666
LJ  0.333334   0.250000   0.250000
LJ  0.416666   0.166666   0.250000
LJ  0.000000   0.333334   0.166666
LJ  0.083334   0.416666   0.166666
LJ  0.000000   0.416666   0.250000
LJ  0.083334   0.333334   0.250000
LJ  0.166666   0.333334   0.166666
LJ  0.250000   0.416666   0.166666
LJ  0.166666   0.416666   0.250000
LJ  0.250000   0.333334   0.250000
LJ  0.333334   0.333334   0.166666
LJ  0.416666   0.416666   0.166666
LJ  0.333334   0.416666   0.250000
LJ  0.416666   0.333334   0.250000
LJ  0.000000   0.000000   0.333334
LJ  0.083334   0.083334   0.333334
LJ  0.000000   0.083334   0.416666
LJ  0.083334   0.000000   0.416666
LJ  0.166666   0.000000   0.333334
LJ  0.250000   0.083334   0.333334
LJ  0.166666   0.083334   0.416666
LJ  0.250000   0.000000   0.416666
LJ  0.333334   0.000000   0.333334
LJ  0.416666   0.083334   0.333334
LJ  0.333334   0.083334   0.416666
LJ  0.416666   0.000000   0.416666
LJ  0.000000   0.166666   0.333334
LJ  0.083334   0.250000   0.333334
LJ  0.000000   0.250000   0.416666
LJ  0.083334   0.166666   0.416666
LJ  0.166666   0.166666   0.333334
LJ  0.250000   0.250000   0.333334
LJ  0.166666   0.250000   0.416666
LJ  0.250000   0.166666   0.416666
LJ  0.333334   0.166666   0.333334
LJ  0.416666   0.250000   0.333334
LJ  0.333334   0.250000   0.416666
LJ  0.416666   0.166666   0.416666
LJ  0.000000   0.333334   0.333334
LJ  0.083334   0.416666   0.333334
LJ  0.000000   0.416666   0.416666
LJ  0.083334   0.333334   0.416666
LJ  0.166666   0.333334   0.333334
LJ  0.250000   0.416666   0.333334
LJ  0.166666   0.416666   0.416666
LJ  0.250000   0.333334   0.416666
LJ  0.333334   0.333334   0.333334
LJ  0.416666   0.416666   0.333334
LJ  0.333334   0.416666   0.416666
LJ  0.416666   0.333334   0.416666
